Freedom,Independence
Justice,Fairness
Patriotism,National pride
Tyranny,Authoritarian rule
Equality,Equal treatment
Exploitation,Utilization
Betrayal,Disloyalty
Corruption,Dishonesty
Honor,Respect
Heroism,Courage
Oppression,Suppression
Revolution,Political change
Utopia,Ideal society
Liberty,Freedom of choice
Power,Influence
Sacrifice,Contribution
Victory,Success
Anarchy,Lawlessness
Chaos,Disorder
Defiance,Resistance
Dignity,Self-respect
Domination,Control
Empathy,Understanding
Evil,Immorality
Greed,Self-interest
Honor,Recognition
Innocence,Naivety
Integrity,Honesty
Injustice,Inequity
Loyalty,Allegiance
Manipulation,Influence
Oppression,Subjugation
Outrage,Strong reaction
Patriotism,National pride
Radical,Innovative
Revolutionary,Transformative
Freedom fighter,Activist
Despot,Authoritarian
Elite,Top-tier
Corruption,Dishonesty
Oppression,Control
Fanatic,Enthusiast
Extremist,Radical
Disaster,Catastrophe
Rebellion,Uprising
Indoctrination,Education
Propaganda,Information
Scandal,Controversy
Impeachment,Removal
Anarchy,Lawlessness
Militant,Advocate
Prejudice,Bias
Radicalism,Extreme beliefs
Secession,Withdrawal
Totalitarian,Authoritarian
Victimization,Suffering
Subversion,Undermining
Chaos,Disorder
Persecution,Targeting
Prophet,Visionary
Charismatic,Persuasive
Nationalist,Patriotic
Extortion,Coercion
Subjugation,Domination
Zealot,Devotee
Hostility,Animosity
Intolerance,Unacceptance
Demagogue,Politician
Brainwashing,Influence
Agitator,Activist
Insurrection,Revolt
Perpetrator,Offender
Opponents,Adversaries
Conspiracy,Plot
Terrorist,Militant
Resistance,Defiance
Bigotry,Prejudice
Radical change,Transformation
Conformity,Compliance
Disenfranchisement,Exclusion
Dictator,Ruler
Insurgent,Rebel
Oppressed,Subjugated
Unjust,Unfair
Militancy,Activism
Manipulation,Influence
Vigilante,Self-appointed enforcer
Denunciation,Criticism
Martyr,Hero
Exploitation,Utilization
Subversive,Disruptive
Prophetic,Insightful
Extremism,Radicalism
Fanatical,Obsessive
Preemptive,Preventive
Repressive,Restrictive
Subversive,Challenging
Radicalization,Extreme conversion
Socialist,Collectivist
Revolution,Major change
Martial law,Military rule
Conspiracy theory,Alternative explanation
Nationalism,Patriotism
Victim,Sufferer
Oppression,Unjust treatment
Radical,Innovative
Reactionary,Conservative
Authoritarian,Strict
Dogmatic,Inflexible
Jingoism,Extremely nationalistic
Militant,Aggressive
Zealous,Passionate
Bias,Prejudice
Bigotry,Intolerance
Radical shift,Major change
Manipulative,Deceptive
Demonstrator,Protester
Detractor,Critic
Exposé,Revelation
Controversial,Debatable
Subjugated,Oppressed
Recalcitrant,Resistant
Insurgent,Rebel
Exclusionary,Restrictive
Despotism,Authoritarian rule
Allegiance,Loyalty
Propaganda,Persuasion
Persecutor,Oppressor
Bigoted,Prejudiced
Totalitarianism,Absolute rule
Agitation,Instigation
Fanaticism,Extreme devotion
Authoritarianism,Centralized control
Radicalization,Extreme transformation
